MS Zoning,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Heating,Heating QC,Central Air,Electrical,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Pool QC,Fence,Misc Feature,Sale Type,Id,MS SubClass,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Mo Sold,SalePrice,Age,Remod Age,Garage Age,Total Area,OverallQual & GrLivArea,GarageArea & Cars,Age & RemodAge,FullBath & RmsAbvGrd
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,3,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,3,Y,SBrkr,3,Typ,0,Detchd,Unf,3,TA,Y,None,None,None,COD,1044,160,21.0,1680,6,5,232.0,387.0,0.0,96.0,483.0,483,504,0,987,0.0,0.0,1,1,2,1,4,0,1.0,264.0,0,0,0,0,0,0,7,85400,40,40,40.0,3646.0,5922,264.0,1600,4
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,WD ,2752,20,64.0,7488,7,5,0.0,393.0,0.0,815.0,1208.0,1208,0,0,1208,0.0,0.0,2,0,2,1,6,0,2.0,632.0,105,58,0,0,0,0,2,183600,6,6,6.0,10699.0,8456,1264.0,36,12
RL,Pave,None,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,5,TA,PConc,None,None,None,None,None,GasA,5,Y,SBrkr,3,Mod,3,Attchd,Unf,3,TA,P,None,None,None,WD ,807,70,120.0,26400,5,7,0.0,0.0,0.0,0.0,0.0,1288,728,0,2016,0.0,0.0,1,0,4,1,7,1,2.0,576.0,0,0,0,0,0,0,6,131000,131,4,111.0,28992.0,10080,1152.0,524,7
FV,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Detchd,Unf,3,TA,Y,None,None,None,ConLD,1177,160,24.0,2645,8,5,456.0,813.0,0.0,147.0,960.0,962,645,0,1607,1.0,0.0,2,1,3,1,7,0,2.0,480.0,169,0,0,0,0,0,12,200000,12,11,11.0,6317.0,12856,960.0,132,14
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,WD ,1480,20,74.0,9627,7,5,0.0,24.0,0.0,1327.0,1351.0,1361,0,0,1361,0.0,0.0,2,0,3,1,6,0,2.0,610.0,0,50,0,0,0,0,6,193000,4,4,4.0,12999.0,9527,1220.0,16,12
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,RFn,3,TA,Y,None,None,None,WD ,324,20,93.0,10114,5,5,0.0,0.0,0.0,1430.0,1430.0,1430,0,0,1430,0.0,0.0,2,0,3,1,7,0,2.0,624.0,0,0,0,0,0,0,3,173500,7,6,7.0,13598.0,7150,1248.0,42,14
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,AsbShng,AsbShng,None,2,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,2,N,SBrkr,3,Typ,0,Detchd,Unf,2,Fa,Y,None,None,None,COD,1311,70,34.0,4571,5,5,0.0,0.0,0.0,624.0,624.0,624,720,0,1344,0.0,0.0,1,0,4,1,7,0,3.0,513.0,0,0,96,0,0,0,5,98000,95,61,95.0,7148.0,6720,1539.0,5795,7
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,3,TA,PConc,TA,TA,No,Rec,Unf,GasA,3,Y,SBrkr,3,Typ,0,Detchd,Unf,3,TA,Y,None,MnPrv,None,WD ,770,20,80.0,8816,5,6,0.0,651.0,0.0,470.0,1121.0,1121,0,0,1121,1.0,0.0,1,0,3,1,5,0,2.0,480.0,0,80,0,0,0,0,6,139000,48,48,48.0,11618.0,5605,960.0,2304,5
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,5,TA,CBlock,TA,TA,No,Unf,Unf,GasA,5,Y,SBrkr,3,Typ,3,Attchd,RFn,3,TA,Y,None,MnPrv,None,WD ,2063,20,71.0,8197,6,5,148.0,0.0,0.0,660.0,660.0,1285,0,0,1285,0.0,0.0,1,1,3,1,7,1,2.0,528.0,138,0,0,0,0,0,4,143500,34,34,34.0,10956.0,7710,1056.0,1156,7
FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Gd,TA,Mn,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,0,Attchd,Unf,3,TA,Y,None,None,None,Con,69,60,72.0,8640,7,5,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,0.0,0.0,2,1,3,1,7,0,2.0,614.0,169,45,0,0,0,0,6,215200,2,2,2.0,11771.0,10829,1228.0,4,14
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,4,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,4,Y,SBrkr,3,Typ,1,Attchd,Fin,3,TA,Y,None,None,None,WD ,2062,20,109.0,8724,5,5,0.0,492.0,0.0,402.0,894.0,894,0,0,894,0.0,0.0,1,0,3,1,5,1,2.0,450.0,0,0,0,0,0,0,5,129000,43,43,43.0,10962.0,4470,900.0,1849,5
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,CemntBd,CmentBd,None,5,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,5,Y,SBrkr,5,Typ,5,Attchd,Fin,3,TA,Y,None,None,None,WD ,351,120,40.0,5664,8,5,0.0,1158.0,0.0,343.0,1501.0,1659,0,0,1659,1.0,0.0,2,0,2,1,5,1,2.0,499.0,212,59,0,0,0,0,10,278000,11,11,11.0,9594.0,13272,998.0,121,10
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,5,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,5,Y,SBrkr,5,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,New,2393,60,103.0,12867,8,5,0.0,0.0,0.0,1209.0,1209.0,1209,1044,0,2253,0.0,0.0,2,1,3,1,8,1,2.0,575.0,243,142,0,0,0,0,7,344133,6,5,6.0,17289.0,18024,1150.0,30,16
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,5,Gd,PConc,Gd,TA,No,ALQ,Unf,GasA,5,Y,SBrkr,3,Typ,0,Attchd,Fin,3,TA,Y,None,GdPrv,Shed,WD ,12,20,0.0,7980,6,7,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,1.0,0.0,2,0,3,1,6,0,2.0,420.0,483,21,0,0,0,0,3,185000,19,4,19.0,11259.0,7122,840.0,76,12
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,5,TA,CBlock,TA,TA,No,Rec,Unf,GasA,5,Y,SBrkr,3,Typ,3,Attchd,RFn,3,TA,Y,None,GdPrv,None,WD ,624,20,92.0,10573,6,6,3.0,1312.0,0.0,141.0,1453.0,1453,0,0,1453,1.0,0.0,2,0,3,1,6,1,2.0,530.0,0,49,0,0,288,0,4,187500,50,50,50.0,14349.0,8718,1060.0,2500,12
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,5,Gd,CBlock,TA,TA,No,GLQ,BLQ,GasA,5,Y,SBrkr,3,Typ,4,Detchd,Unf,3,TA,Y,None,MnPrv,None,WD ,86,20,65.0,8450,5,8,0.0,553.0,117.0,224.0,894.0,894,0,0,894,1.0,0.0,1,0,3,1,5,1,1.0,336.0,416,144,0,0,0,0,4,138500,46,2,38.0,11134.0,4470,336.0,92,5
RL,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,5,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,5,Y,SBrkr,4,Min2,4,Detchd,Unf,3,TA,Y,None,None,None,WD ,1534,50,0.0,11700,5,6,0.0,606.0,0.0,336.0,942.0,1265,673,0,1938,0.0,0.0,2,0,4,1,7,1,1.0,240.0,0,40,0,0,0,0,7,198000,74,16,74.0,14860.0,9690,240.0,1184,14
C (all),Pave,None,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,None,2,Gd,CBlock,TA,TA,No,Unf,Unf,GasA,2,N,SBrkr,3,Typ,0,None,None,0,None,N,None,None,None,WD ,2243,190,75.0,8250,5,6,0.0,0.0,0.0,957.0,957.0,1034,957,0,1991,0.0,0.0,2,0,4,2,9,0,0.0,0.0,0,0,133,0,0,0,6,119600,116,5,116.0,11331.0,9955,0.0,580,18
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,5,Gd,CBlock,TA,TA,Mn,Unf,Unf,GasA,5,Y,SBrkr,3,Typ,1,Detchd,Unf,3,TA,Y,None,MnPrv,Shed,WD ,1957,50,60.0,8064,5,7,0.0,0.0,0.0,672.0,672.0,672,252,0,924,0.0,0.0,1,0,3,1,6,1,2.0,576.0,0,0,0,0,0,0,7,122900,62,5,8.0,10236.0,4620,1152.0,310,6
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,Hip,WdShngl,BrkFace,BrkFace,None,3,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,3,Y,SBrkr,4,Typ,4,Attchd,Fin,3,TA,Y,None,MnPrv,None,WD ,380,20,80.0,9600,8,5,0.0,1104.0,0.0,1420.0,2524.0,2524,0,0,2524,1.0,0.0,2,1,4,1,9,1,2.0,542.0,474,120,0,0,0,0,7,278000,30,30,30.0,15784.0,20192,1084.0,900,18
RL,Pave,None,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,None,2,TA,PConc,Gd,TA,No,Unf,Unf,GasA,2,Y,SBrkr,4,Typ,4,Detchd,Unf,3,TA,Y,None,None,None,WD ,2860,70,0.0,11435,8,7,0.0,0.0,0.0,792.0,792.0,792,725,0,1517,0.0,0.0,1,0,3,1,7,2,2.0,400.0,0,0,0,0,0,0,6,230000,82,61,80.0,14144.0,12136,800.0,5002,7
RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,Hip,CompShg,BrkFace,BrkFace,None,5,Gd,PConc,Gd,Gd,Av,LwQ,GLQ,GasA,5,Y,SBrkr,5,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,WD ,2517,120,30.0,9549,8,5,0.0,437.0,1057.0,0.0,1494.0,1494,0,0,1494,1.0,0.0,1,1,2,1,6,1,2.0,481.0,0,30,0,0,216,0,4,270000,16,15,16.0,13264.0,11952,962.0,240,6
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,3,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,3,Y,SBrkr,3,Typ,0,Detchd,Unf,3,TA,N,None,None,None,WD ,1933,20,60.0,10950,6,6,0.0,441.0,0.0,507.0,948.0,948,0,0,948,0.0,0.0,1,0,2,1,5,0,2.0,410.0,0,48,0,0,0,0,4,125000,59,59,59.0,13304.0,5688,820.0,3481,5
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,5,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,4,Attchd,RFn,3,TA,Y,None,None,None,WD ,820,20,79.0,10637,8,5,336.0,1288.0,0.0,417.0,1705.0,1718,0,0,1718,1.0,0.0,2,0,3,1,7,1,3.0,826.0,208,44,0,0,0,0,9,297000,4,3,4.0,15474.0,13744,2478.0,12,14
RL,Pave,None,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,2,TA,CBlock,Gd,TA,Gd,Unf,Unf,GasA,2,Y,SBrkr,3,Typ,4,Basment,RFn,3,TA,Y,None,None,None,WD ,675,20,80.0,9000,6,6,82.0,0.0,0.0,160.0,160.0,1142,0,0,1142,0.0,0.0,1,0,2,1,5,1,1.0,384.0,0,28,64,0,0,0,4,113500,53,53,53.0,10860.0,6852,384.0,2809,5
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,None,5,TA,PConc,TA,TA,No,ALQ,Rec,GasA,5,Y,SBrkr,3,Typ,3,Attchd,RFn,3,TA,Y,None,None,None,WD ,2910,160,41.0,2665,5,6,0.0,548.0,173.0,36.0,757.0,925,550,0,1475,0.0,0.0,2,0,4,1,6,1,1.0,336.0,104,26,0,0,0,0,7,127000,34,34,34.0,5363.0,7375,336.0,1156,12
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,5,TA,CBlock,Gd,TA,No,BLQ,Unf,GasA,5,Y,SBrkr,3,Typ,3,Attchd,RFn,3,TA,Y,None,MnPrv,None,COD,21,20,105.0,11751,6,6,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,0.0,0.0,2,0,3,1,7,1,2.0,546.0,0,122,0,0,0,0,1,190000,34,34,34.0,16587.0,11064,1092.0,1156,14
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,2,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,2,Y,SBrkr,3,Typ,3,Attchd,Unf,3,TA,Y,None,None,None,WD ,1873,20,80.0,9600,7,6,320.0,916.0,0.0,326.0,1242.0,1242,0,0,1242,0.0,0.0,1,1,3,1,6,1,2.0,528.0,0,0,0,0,0,0,9,175500,38,38,38.0,12932.0,8694,1056.0,1444,6
RL,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,Gd,PConc,Gd,Gd,No,GLQ,Unf,GasA,5,Y,SBrkr,3,Typ,0,Detchd,Unf,3,TA,Y,None,None,None,WD ,2125,20,60.0,8428,5,7,0.0,420.0,0.0,570.0,990.0,990,0,0,990,1.0,0.0,1,0,3,1,5,0,1.0,384.0,256,0,0,0,0,0,7,146000,17,17,16.0,11048.0,4950,384.0,289,5
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,4,TA,CBlock,TA,TA,No,BLQ,LwQ,GasA,4,Y,SBrkr,3,Typ,0,Attchd,Fin,3,TA,Y,None,None,None,WD ,1489,20,75.0,9937,5,6,0.0,830.0,290.0,136.0,1256.0,1256,0,0,1256,1.0,0.0,1,1,3,1,6,0,1.0,276.0,736,68,0,0,0,0,6,147500,46,46,46.0,13529.0,6280,276.0,2116,6
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,5,TA,PConc,Ex,Gd,Gd,GLQ,Unf,GasA,5,Y,SBrkr,5,Typ,4,Attchd,Fin,3,TA,Y,None,None,None,New,2383,20,107.0,13891,10,5,0.0,1386.0,0.0,690.0,2076.0,2076,0,0,2076,1.0,0.0,2,1,2,1,7,1,3.0,850.0,216,229,0,0,0,0,9,465000,5,5,5.0,19338.0,20760,2550.0,25,14
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,5,Gd,PConc,Gd,TA,Av,GLQ,Unf,GasA,5,Y,SBrkr,4,Typ,3,Attchd,Fin,3,TA,Y,None,None,None,WD ,983,85,0.0,9101,5,6,104.0,1097.0,0.0,0.0,1097.0,1110,0,0,1110,1.0,0.0,1,0,1,1,4,1,2.0,602.0,303,30,0,0,0,0,7,165500,33,33,33.0,12347.0,5550,1204.0,1089,4
RM,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,5,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,5,N,FuseF,3,Typ,0,Attchd,Unf,2,TA,Y,None,None,None,WD ,1325,50,81.0,12150,5,5,335.0,0.0,0.0,1050.0,1050.0,1050,745,0,1795,0.0,0.0,2,0,4,1,7,0,1.0,352.0,0,0,0,0,0,0,11,131500,57,57,57.0,15682.0,8975,352.0,3249,14
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,5,TA,CBlock,TA,TA,No,Rec,Unf,GasA,5,Y,SBrkr,3,Typ,0,Detchd,Unf,3,TA,Y,None,None,None,WD ,1378,20,70.0,11200,5,5,0.0,906.0,0.0,134.0,1040.0,1040,0,0,1040,1.0,0.0,1,0,3,1,5,0,1.0,384.0,0,0,0,0,0,0,2,129500,46,46,46.0,13664.0,5200,384.0,2116,5
RL,Pave,None,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,Stone,3,TA,PConc,TA,Fa,No,LwQ,Unf,GasA,3,Y,SBrkr,3,Typ,4,Detchd,Fin,2,TA,Y,None,None,None,WD ,1537,70,100.0,9670,8,6,40.0,210.0,0.0,398.0,608.0,983,890,0,1873,0.0,0.0,1,1,4,1,9,2,2.0,786.0,0,0,207,0,0,0,6,257076,76,61,76.0,13184.0,14984,1572.0,4636,9
RL,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,5,TA,CBlock,TA,TA,No,LwQ,BLQ,GasA,5,Y,SBrkr,3,Min2,0,Detchd,Unf,3,TA,Y,None,None,None,WD ,905,50,60.0,10998,5,5,0.0,408.0,420.0,156.0,984.0,984,620,0,1604,0.0,0.0,2,0,3,1,6,0,2.0,660.0,0,68,0,0,0,0,7,117000,70,51,34.0,14314.0,8020,1320.0,3570,12
